16227175287778892913	292546
18068612655341193842	1
1046054614886979753	1
16521459642362232022	179
4836156786364319974	1
17621981367967593041	5
7121330179803793420	3
11955520814031647441	5227
14858418482834634391	14
13419521349697920093	0
9545525740981673536	7
9865728370123576183	8
12188281313839248741	1569
13765928705980533627	1
12017326899574724513	21
7521826966864245375	1
7715454164912723945	30
3181849630790143558	1
1618417035125068579	561937
14100894298169277866	5820
2400254913052048519	17
10316941451700096178	1
463539781655547373	22
3612942608338945223	0
12883626568059407396	3
14121841998376656600	12
14913648719209624482	4068
1797077051326095181	0
16493609087805254003	4816
14416802862540278056	79
6101255242130679400	0
991335584098953438	7
11967827459635047599	2
8666631333097736550	12
4001916039538940480	29632
10473065194754528349	3117
1821632444431758388	2655
3630387607123099695	81234
12512471714600902731	3
522886767088430030	17602
2442788355263796366	465
13860162813559060778	7
1360401070345806095	7
4249490752297932446	4
6234616648224700529	7
7878321657554786054	13
17312799871974747577	15
12754153109120913532	1
17451194005690664741	1
16058818155894275923	5076
12152848336384919948	1
2410502478558272556	43408
16593966271788508291	1
1223820709262736449	324
9656977931297505712	394
17516909556662051109	8291
13758863178414425945	9526
11588879368725104423	1408
10770989488900158829	6654
10345280989891211402	5
4967876143404289385	1850
10267012756659449824	2
1085140989979557287	32
18038797738274479434	146
13459322363121022416	614251
12270637943828293200	56
13069803452123684052	1
16247891063184189731	2742
1405258509778981824	1
3241622967023122303	379
10443909886752984642	540
6994120729965996669	17
15369865614562682143	1
9813660853358077586	3
1749393352681294943	2
12359768624938212866	47
2273920649918992655	2
6473915541362128558	13
16750890425992657423	533173
16851671967907873241	10
7889825127649328746	1
15694571485824746284	358
4636029457390908036	120787
6837785505872639798	9
4587618946767378515	278
11707275399729632683	1
12483200020668935944	9
3703517783746359819	87293
10161664435548229806	67
9161070676169216254	82
17945399652357705724	146
13295665185640607395	1
2178402314935156279	4524
11830536013970674267	762
14945076848725595431	61
9511722674564414575	29
10393421986360504760	6
9246530544086762610	1060
10882600366967065435	14
15437056810077677532	948
89187142359282459	9355
8210794996588415128	5
16088655038603771667	2
10869353491174263467	131
12806492096215348140	3
15274439421357079864	1
9319460667254520865	35131
16894976868407311192	459925
9342197265787383491	1
10277134918738572896	1
6513329850732007179	3
6878052323561104605	23
12699129070950039932	1
3985430216607809524	25395
1984025513814370375	75873
